stream_files�
"Munic�pio","ibge","latitude","longitude","/Com�rcio/Vend...lina Automotiva 2011 (litros)"
"Miragua�","4312302","-27.497000000000","-53.689100000000","803.000"
"Montauri","4312351","-28.646200000000","-52.076700000000","80.000"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","477.000"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","560.000"
"Montenegro","4312401","-29.682400000000","-51.467900000000","19.351.500"
"Morma�o","4312427","-28.696800000000","-52.699900000000","783.000"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","353.750"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","1.010.000"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","1.745.000"
"Mostardas","4312500","-31.105399999990","-50.916699999990","2.661.500"
"Mu�um","4312609","-29.163000000000","-51.871400000000","1.698.970"
"Muitos Cap�es","4312617","-28.313199999990","-51.183599999990","103.000"
"Muliterno","4312625","-28.325299999990","-51.769700000000","222.500"
"N�o-Me-Toque","4312658","-28.454799999990","-52.818199999990","3.954.000"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","325.000"
"Nonoai","4312708","-27.368900000000","-52.775599999990","2.544.000"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","658.000"
"Nova Ara��","4312807","-28.653700000000","-51.745800000000","1.507.000"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","2.265.000"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","42.000"
"Nova Br�scia","4313003","-29.218200000000","-52.031900000000","824.000"
"Nova Candel�ria","4313011","-27.613700000000","-54.107399999990","585.000"
"Nova Esperan�a do Sul","4313037","-29.406600000000","-54.829300000000","961.000"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","2.280.000"
"Nova P�dua","4313086","-29.027500000000","-51.309800000000","215.000"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","1.158.000"
"Nova Petr�polis","4313201","-29.374099999990","-51.113500000000","5.828.500"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","7.117.810"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","314.000"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","700.000"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","6.581.515"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","1.020.000"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","1.792.500"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","98.578.015"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","111.000"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","170.000"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","69.000"
"Os�rio","4313508","-29.888100000000","-50.266700000000","36.745.500"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","603.000"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","3.574.000"
"Palmeira das Miss�es","4313706","-27.900600000000","-53.313400000000","8.097.500"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","980.000"
"Panambi","4313904","-28.283300000000","-53.502299999990","11.634.600"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","3.898.500"
"Para�","4314001","-28.596399999990","-51.789600000000","2.063.000"
"Para�so do Sul","4314027","-29.671700000000","-53.143999999990","981.500"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","540.000"
"Parob�","4314050","-29.624300000000","-50.831200000000","11.222.500"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","672.000"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","711.000"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","58.413.412"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","220.000"
"Paverama","4314159","-29.548500000000","-51.733899999990","1.738.000"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","198.000"
"Pedro Os�rio","4314209","-31.864200000000","-52.818399999990","1.334.000"
"Peju�ara","4314308","-28.428300000000","-53.657899999990","726.000"
"Pelotas","4314407","-31.764900000000","-52.337100000000","75.306.000"
"Picada Caf�","4314423","-29.446400000000","-51.136699999990","2.207.000"
"Pinhal","4314456","-27.507999999990","-53.208199999990","297.000"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","252.500"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","521.000"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","469.000"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","2.334.000"
"Pirap�","4314555","-28.043900000000","-55.200099999990","220.000"
"Piratini","4314605","-31.447299999990","-53.097299999990","2.689.000"
"Planalto","4314704","-27.329699999990","-53.057500000000","1.598.000"
"Po�o das Antas","4314753","-29.448100000000","-51.671900000000","221.000"
"Pont�o","4314779","-28.058499999990","-52.679099999990","702.500"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","150.000"
"Port�o","4314803","-29.701499999990","-51.242899999990","8.951.000"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","472.840.968"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","673.000"
"Porto Mau�","4315057","-27.579599999990","-54.665700000000","365.000"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","94.000"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","1.455.000"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","694.900"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","467.000"
"Progresso","4315156","-29.244199999990","-52.319699999990","896.000"
"Prot�sio Alves","4315172","-28.757200000000","-51.475700000000","315.000"
"Putinga","4315206","-29.004500000000","-52.156900000000","390.000"
"Quara�","4315305","-30.384000000000","-56.448300000000","4.023.000"
"Quatro Irm�os","4315313","-27.816299999990","-52.441899999990","725.000"
"Quevedos","4315321","-29.350400000000","-54.078899999990","155.000"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","775.000"
"Redentora","4315404","-27.664000000000","-53.640700000000","680.500"
"Relvado","4315453","-29.116399999990","-52.077800000000","458.000"
"Restinga S�ca","4315503","-29.818800000000","-53.380699999990","3.065.500"
"Rio dos �ndios","4315552","-27.297300000000","-52.841700000000","207.000"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","40.905.579"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","5.527.000"
"Riozinho","4315750","-29.638999999990","-50.448799999990","580.000"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","1.570.000"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","1.297.000"
"Rolador","4315958","-28.257670000000","-54.818640000000","159.000"
"Rolante","4316006","-29.646200000000","-50.581899999990","4.914.000"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","2.036.500"
"Rondinha","4316204","-27.831499999990","-52.908099999990","903.350"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1.544.000"
"Ros�rio do Sul","4316402","-30.251500000000","-54.922100000000","9.776.350"
"Sagrada Fam�lia","4316428","-27.708500000000","-53.135100000000","262.000"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","1.081.000"
"Salto do Jacu�","4316451","-29.095099999990","-53.213299999990","2.112.500"
"Salvador das Miss�es","4316477","-28.123300000000","-54.837299999990","845.000"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","1.827.000"
"Sananduva","4316600","-27.946999999990","-51.807899999990","4.337.260"
"Santa B�rbara do Sul","4316709","-28.365300000000","-53.250999999990","2.048.500"
"Santa Cec�lia do Sul","4316733","-28.153700000000","-51.929600000000","157.000"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","1.715.000"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","38.212.200"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","541.000"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","67.776.279"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","1.201.500"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","19.700.500"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","183.000"
"Santa Vit�ria do Palmar","4317301","-33.524999999990","-53.371699999990","5.050.500"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","555.000"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","20.349.500"
"Santiago","4317400","-29.189699999990","-54.866599999990","12.066.700"
"Santo �ngelo","4317509","-28.300100000000","-54.266800000000","19.361.000"
"Santo Ant�nio da Patrulha","4317608","-29.826799999990","-50.517499999990","8.789.000"
"Santo Ant�nio das Miss�es","4317707","-28.513999999990","-55.225099999990","1.829.000"
"Santo Ant�nio do Palma","4317558","-28.495600000000","-52.026699999990","289.000"
"Santo Ant�nio do Planalto","4317756","-28.403099999990","-52.699199999990","524.000"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","3.207.850"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","3.156.500"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","278.000"
"S�o Borja","4318002","-28.657800000000","-56.003599999990","8.536.800"
"S�o Domingos do Sul","4318051","-28.531199999990","-51.886000000000","697.000"
"S�o Francisco de Assis","4318101","-29.554700000000","-55.125300000000","2.450.950"
"S�o Francisco de Paula","4318200","-29.440400000000","-50.582799999990","4.639.000"
"S�o Gabriel","4318309","-30.333700000000","-54.321700000000","11.134.000"
"S�o Jer�nimo","4318408","-29.971599999990","-51.725099999990","4.949.000"
"S�o Jo�o da Urtiga","4318424","-27.819500000000","-51.825699999990","861.000"
"S�o Jo�o do Pol�sine","4318432","-29.619399999990","-53.443899999990","865.000"
"S�o Jorge","4318440","-28.498400000000","-51.706400000000","647.000"
"S�o Jos� das Miss�es","4318457","-27.778900000000","-53.122599999990","857.500"
"S�o Jos� do Herval","4318465","-29.052000000000","-52.295000000000","888.500"
"S�o Jos� do Hort�ncio","4318481","-29.527999999990","-51.245000000000","612.000"
"S�o Jos� do Inhacor�","4318499","-27.725100000000","-54.127499999990","236.000"
